	ImageNumber	ObjectNumber	Intensity_MeanIntensity_Ch01	Intensity_MeanIntensity_Ch02	FileName_DAPI	Sample_Name
1	1	1	0.097782668	0.084313728	Neg_1a	Neg
2	1	2	0.165778602	0.241536982	Neg_1a	Neg
3	1	3	0.172144216	0.221884889	Neg_1a	Neg
4	1	4	0.150874576	0.208577659	Neg_1a	Neg
5	1	5	0.162841822	0.235856861	Neg_1a	Neg
6	1	6	0.170078066	0.248460271	Neg_1a	Neg
7	1	7	0.155823701	0.210742422	Neg_1a	Neg
8	1	8	0.164924465	0.248794608	Neg_1a	Neg
9	1	9	0.139264378	0.225786755	Neg_1a	Neg
10	1	10	0.164823533	0.220692817	Neg_1a	Neg
11	1	11	0.156765593	0.13416358	Neg_1a	Neg
12	1	12	0.175359217	0.154957533	Neg_1a	Neg
13	1	13	0.165822788	0.178447923	Neg_1a	Neg
14	1	14	0.161862749	0.134473044	Neg_1a	Neg
15	1	15	0.157115172	0.166256483	Neg_1a	Neg
16	1	16	0.169324824	0.1589458	Neg_1a	Neg
17	1	17	0.238563745	0.209068017	Neg_1a	Neg
18	1	18	0.169764141	0.145223079	Neg_1a	Neg
19	1	19	0.186656805	0.106955237	Neg_1a	Neg
20	1	20	0.186307376	0.113221605	Neg_1a	Neg
21	1	21	0.171685785	0.183540926	Neg_1a	Neg
22	1	22	0.215365424	0.146024961	Neg_1a	Neg
23	1	23	0.194509809	0.123179654	Neg_1a	Neg
24	1	24	0.195311487	0.145083574	Neg_1a	Neg
25	1	25	0.09616036	0.091780001	Neg_1a	Neg
26	1	26	0.117797314	0.087145972	Neg_1a	Neg
27	1	27	0.161246311	0.136164388	Neg_1a	Neg
28	1	28	0.189032237	0.235341468	Neg_1a	Neg
29	1	29	0.147222226	0.190686279	Neg_1a	Neg
30	1	30	0.152081371	0.169738915	Neg_1a	Neg
31	1	31	0.115905576	0.089293088	Neg_1a	Neg
32	1	32	0.126757374	0.105335469	Neg_1a	Neg
33	1	33	0.119286812	0.170761104	Neg_1a	Neg
34	1	34	0.182030284	0.175353689	Neg_1a	Neg
35	1	35	0.109723186	0.083114189	Neg_1a	Neg
36	1	36	0.132785563	0.099470901	Neg_1a	Neg
37	1	37	0.122852561	0.104347221	Neg_1a	Neg
38	1	38	0.131354564	0.087078014	Neg_1a	Neg
39	1	39	0.120995068	0.107976526	Neg_1a	Neg
40	1	40	0.166722404	0.103835437	Neg_1a	Neg
41	1	41	0.128536957	0.10580694	Neg_1a	Neg
42	1	42	0.16365142	0.214701532	Neg_1a	Neg
43	1	43	0.145954313	0.128850517	Neg_1a	Neg
44	1	44	0.185898365	0.150860348	Neg_1a	Neg
45	1	45	0.08546802	0.102726954	Neg_1a	Neg
46	1	46	0.11396232	0.13917738	Neg_1a	Neg
47	1	47	0.146969362	0.198948786	Neg_1a	Neg
48	1	48	0.130621706	0.188750164	Neg_1a	Neg
49	1	49	0.227559584	0.178377078	Neg_1a	Neg
50	1	50	0.153114829	0.125873675	Neg_1a	Neg
51	1	51	0.173666147	0.149892366	Neg_1a	Neg
52	1	52	0.261566229	0.215950927	Neg_1a	Neg
53	1	53	0.198362718	0.195193773	Neg_1a	Neg
54	1	54	0.151053926	0.223660138	Neg_1a	Neg
55	1	55	0.141897604	0.179780918	Neg_1a	Neg
56	1	56	0.13945813	0.212768497	Neg_1a	Neg
57	1	57	0.126101548	0.23758295	Neg_1a	Neg
58	1	58	0.126278777	0.191176474	Neg_1a	Neg
59	1	59	0.178420108	0.182679743	Neg_1a	Neg
60	1	60	0.131797784	0.116615485	Neg_1a	Neg
61	1	61	0.125795094	0.208421391	Neg_1a	Neg
62	1	62	0.313949589	0.20491877	Neg_1a	Neg
63	1	63	0.187364857	0.163194066	Neg_1a	Neg
64	1	64	0.238092615	0.181239072	Neg_1a	Neg
65	1	65	0.220600758	0.195477685	Neg_1a	Neg
66	1	66	0.139005105	0.150807249	Neg_1a	Neg
67	1	67	0.123737241	0.177139246	Neg_1a	Neg
68	1	68	0.208081063	0.22868981	Neg_1a	Neg
69	1	69	0.212683207	0.253663999	Neg_1a	Neg
